comment_number,describe,introduce,movie_name,serial_number,start
611724人评价,约翰尼·德普的独角戏。,2003/美国/动作冒险奇幻,加勒比海盗,93,8.7
638740人评价,我是一个演员。,1999/中国香港/喜剧剧情爱情,喜剧之王,94,8.7
537648人评价,最不可能的那个人永远是最可能的。,2003/美国/剧情悬疑惊悚,致命ID,95,8.8
519124人评价,每个人心中都有一座断背山。,2005/美国加拿大/剧情爱情同性家庭,断背山,96,8.8
442587人评价,关于连环杀人悬案的集体回忆。,2003/韩国/剧情动作犯罪悬疑惊悚,杀人回忆,97,8.8
381537人评价,人与自然的战争史诗。,1997/日本/动画奇幻冒险,幽灵公主,98,8.9
237948人评价,人言可畏。,2012/丹麦瑞典/剧情,狩猎,99,9.1
440714人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,2008/日本/剧情,入殓师,100,8.8
438041人评价,一场华丽的意淫。,1994/中国大陆中国香港/剧情爱情,阳光灿烂的日子,101,8.8
421592人评价,沉醉在电影的情感和视听氛围中无法自拔。,2017/意大利法国巴西美国荷兰德国/剧情爱情同性,请以你的名字呼唤我,102,8.9
550413人评价,寂寞没有期限。,1994/中国香港/剧情爱情,重庆森林,103,8.7
377040人评价,深入内心的恐怖，出人意料的结局。,1999/美国/剧情悬疑惊悚,第六感,104,8.9
506399人评价,10年的完美句点。,2011/美国英国/奇幻冒险,哈利·波特与死亡圣器(下),105,8.8
282341人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。,2014/日本/剧情,小森林 夏秋篇,106,9.0
349216人评价,《我是山姆》的《美丽人生》。,2013/韩国/剧情喜剧家庭,7号房的礼物,107,8.9
619783人评价,年度最佳date movie。,2014/美国/剧情犯罪悬疑惊悚,消失的爱人,108,8.7
263061人评价,梦的勾结。,2006/日本/动画悬疑科幻惊悚,红辣椒,109,9.0
401899人评价,缘分是个连绵词，最美不过一瞬。,1995/美国奥地利瑞士/剧情爱情,爱在黎明破晓前,110,8.8
323343人评价,你是我最好的朋友，你是我唯一的朋友 。,2009/澳大利亚/剧情喜剧动画,玛丽和马克思,111,8.9
248687人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,2015/日本/剧情,小森林 冬春篇,112,9.0
310984人评价,少女情怀总是诗。,1995/日本/剧情爱情动画,侧耳倾听,113,8.9
241642人评价,我们都曾经是一一。,2000/中国台湾日本/剧情爱情家庭,一一,114,9.0
523451人评价,没有一人完全善，也没有一人完全恶。,2010/日本/剧情惊悚,告白,115,8.7
405698人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,2003/美国/剧情家庭奇幻冒险,大鱼,116,8.8
690235人评价,华太师是黄霑，吴镇宇四大才子之一。,1993/中国香港/喜剧爱情古装,唐伯虎点秋香,117,8.6
441669人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,2011/韩国/剧情喜剧,阳光姐妹淘,118,8.8
494008人评价,诺兰就是保证。,2012/美国英国/剧情动作科幻犯罪惊悚,蝙蝠侠：黑暗骑士崛起,119,8.8
452074人评价,百看不厌。 ,1993/中国香港/喜剧奇幻武侠古装,射雕英雄传之东成西就,120,8.7
488589人评价,两张绝世的脸。 ,1987/中国香港/爱情奇幻武侠古装,倩女幽魂,121,8.7
312473人评价,穷尽一生，我们要学会的，不过是彼此拥抱。,2011/美国/剧情,超脱,122,8.9
355636人评价,相逢只要一瞬间，等待却像是一辈子。,1996/中国香港/剧情爱情,甜蜜蜜,123,8.8
524597人评价,和谐的生活离不开摸头与被摸头。,2010/美国/动画奇幻冒险,驯龙高手,124,8.7
332647人评价,触不到的恋人。,2011/日本/剧情爱情动画奇幻,萤火之森,125,8.9
429122人评价,恐怖分子的“秋菊打官司”。,2013/韩国/剧情犯罪悬疑,恐怖直播,126,8.8
370817人评价,有时候幸福需要等一等。 ,2004/美国/喜剧剧情爱情,幸福终点站,127,8.8
677726人评价,Balalala~~~,2014/美国/喜剧动作科幻动画冒险,超能陆战队,128,8.7
348521人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,1999/日本/剧情喜剧,菊次郎的夏天,129,8.8
179828人评价,我的平常生活就是他人的幸福。,2004/日本/剧情,无人知晓,130,9.1
343508人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,2004/美国法国/剧情爱情,爱在日落黄昏时,131,8.8
369022人评价,曾经的那段美好会沉淀为一辈子的记忆。,2010/日本/动画奇幻冒险,借东西的小人阿莉埃蒂,132,8.8
678930人评价,Mr. I Don't Care其实也有Care的时候。,2010/美国法国/喜剧动画冒险,神偷奶爸,133,8.6
440831人评价,不要给它起名字，起了名字就有感情了。,2001/美国/儿童喜剧动画奇幻冒险,怪兽电力公司,134,8.7
167843人评价,坏人的好总是比好人的好来得更感人。,1993/美国/剧情犯罪,完美的世界,135,9.1
342401人评价,跨度十五年的欢乐与泪水。,2010/美国/喜剧动画奇幻冒险,玩具总动员3,136,8.8
273904人评价,动画片的圣经。,1984/日本/动画奇幻冒险,风之谷,137,8.9
559768人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,2016/美国澳大利亚/剧情传记历史战争,血战钢锯岭,138,8.7
224076人评价,被上帝抛弃了的上帝之城。,2002/巴西法国/犯罪剧情,上帝之城,139,8.9
519443人评价,爱是摈弃傲慢与偏见之后的曙光。,2005/法国英国美国/剧情爱情,傲慢与偏见,140,8.6
373926人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,2013/英国/喜剧爱情奇幻,时空恋旅人,141,8.7
344049人评价,真相就在眼前。,2004/美国/悬疑惊悚恐怖,电锯惊魂,142,8.7
632545人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,2004/中国大陆中国香港/动作喜剧犯罪奇幻,功夫,143,8.5
235815人评价,任何信念的力量，都无法改变命运。,1990/美国/剧情犯罪,教父3,144,8.9
231929人评价,中国家庭的喜怒哀乐忍。,1993/中国台湾美国/剧情喜剧爱情同性家庭,喜宴,145,8.9
298900人评价,像吃了苏打饼一样干脆的电影。,2007/美国德国/动作悬疑惊悚,谍影重重3,146,8.8
